group,features,status,accepted,before_auc,after_auc,delta_auc_vs_previous,before_gap,after_gap,valid_auc_std,train_auc_mean,fold_valid_aucs,n_features_after_trial,delta_auc
tyre_life_ratio,tyre_life_ratio,accepted,True,0.9557560762275468,0.9563203939745722,0.0005643177470254779,0.040444636839261916,0.03997498824829924,0.0004984659425123423,0.9962953822228714,"[0.9562852332387485, 0.9569787372353257, 0.9558320927225878, 0.9557237299630889, 0.95678217671311]",15.0,
progress_x_tyre,progress_x_tyre,accepted,True,0.9563203939745722,0.9566436106828885,0.00032321670831625404,0.03997498824829924,0.03999668617561407,0.0005045859318441317,0.9966402968585026,"[0.9565483107419822, 0.9571907841405655, 0.9564034093327005, 0.9558727728327323, 0.9572027763664623]",16.0,
compound_tyre_life,compound_tyre_life,rejected,False,0.9566436106828885,0.9561088489091475,-0.0005347617737410104,0.03999668617561407,0.039947271263367876,0.0005039342936635556,0.9960561201725152,"[0.9556787184564836, 0.9566959197943716, 0.955853396747836, 0.9555793231463116, 0.9567368864007342]",17.0,
stint_progress,stint_progress,rejected,False,0.9566436106828885,0.9564978732979125,-0.00014573738497603017,0.03999668617561407,0.03978455423117333,0.0005217550065891116,0.9962824275290858,"[0.9562715183713281, 0.9572741404246397, 0.9560991173729829, 0.9559041813541573, 0.956940408966454]",17.0,
lap_delta_abs,lap_delta_abs,rejected,False,0.9566436106828885,0.95650755266488,-0.00013605801800853357,0.03999668617561407,0.040714529286797085,0.0005249229415262609,0.9972220819516769,"[0.956213932782229, 0.9571948280825497, 0.956171969632308, 0.9558848590385817, 0.9570721737887312]",17.0,
race_avg_pit_lap,race_avg_pit_lap,rejected,False,0.9566436106828885,0.9565277397703366,-0.00011587091255194082,0.03999668617561407,0.04002385009212719,0.0005250044334061572,0.9965515898624636,"[0.9559586908689616, 0.9572219088451532, 0.9563381375135589, 0.9560430509649352, 0.9570769106590735]",17.0,
D_number,D_number,rejected,False,0.9566436106828885,0.9564056555922557,-0.00023795509063284648,0.03999668617561407,0.039673454140609965,0.0004748144058688569,0.9960791097328657,"[0.9558593454524722, 0.9569399754672001, 0.9562019331032411, 0.9560243687110802, 0.9570026552272851]",17.0,
Is_2023,Is_2023,rejected,False,0.9566436106828885,0.9563618363534822,-0.00028177432940634795,0.03999668617561407,0.039976836449790734,0.0005040012526037672,0.9963386728032729,"[0.9560046192343499, 0.9570387640790976, 0.9559875196650305, 0.9558682520736979, 0.9569100267152354]",17.0,
RaceDistanceKm,RaceDistanceKm,rejected,False,0.9566436106828885,0.9565243454567701,-0.0001192652261183813,0.03999668617561407,0.03995862855489642,0.0005095566526835708,0.9964829740116665,"[0.9562010430402763, 0.9571898530309368, 0.9561972613764986, 0.9559494592582284, 0.9570841105779108]",17.0,
RaceCornerCount,RaceCornerCount,rejected,False,0.9566436106828885,0.956499337829033,-0.00014427285385554267,0.03999668617561407,0.040407440574951825,0.0005002539233763451,0.9969067784039847,"[0.9561307874324851, 0.9572016265787264, 0.9562639575656243, 0.9559200691543777, 0.9569802484139511]",17.0,
RaceRound,RaceRound,rejected,False,0.9566436106828885,0.9565318539652635,-0.00011175671762497785,0.03999668617561407,0.040119590621063475,0.0005281476745923168,0.9966514445863268,"[0.9561932886186676, 0.9571919918430041, 0.9562737099761534, 0.955877387171065, 0.9571228922174272]",17.0,
RaceMonth,RaceMonth,rejected,False,0.9566436106828885,0.9565397541794962,-0.00010385650339228558,0.03999668617561407,0.039941296024565996,0.000511061304283646,0.9964810502040622,"[0.9561782078480608, 0.9572466078076132, 0.9562011937750823, 0.9560067985515391, 0.9570659629151858]",17.0,
SeasonProgress,SeasonProgress,rejected,False,0.9566436106828885,0.956511122047629,-0.00013248863525949783,0.03999668617561407,0.040057826945500065,0.000563324424376348,0.9965689489931291,"[0.9559701888579327, 0.9572110203943562, 0.9563101283506257, 0.955914510233845, 0.9571497624013857]",17.0,
Weather,Weather,skipped_missing_or_constant,False,0.9566436106828885,,,,,,,,,
Temperature,Temperature,skipped_missing_or_constant,False,0.9566436106828885,,,,,,,,,
Humidity,Humidity,skipped_missing_or_constant,False,0.9566436106828885,,,,,,,,,
is_sprint_weekend,is_sprint_weekend,rejected,False,0.9566436106828885,0.9564923624554698,-0.00015124822741874322,0.03999668617561407,0.03976407479837596,0.000532852935119082,0.9962564372538457,"[0.9561496872518566, 0.9572214978334074, 0.9561361877004674, 0.9559100877072233, 0.9570443517843947]",17.0,
is_qatar_2023,is_qatar_2023,rejected,False,0.9566436106828885,0.956443018710327,-0.00020059197256150352,0.03999668617561407,0.03969398981869732,0.000509467397392887,0.9961370085290243,"[0.9561870076353935, 0.9570650212672211, 0.9561280721521415, 0.9558072249288095, 0.9570277675680692]",17.0,
qatar_2023_near_limit,qatar_2023_near_limit,rejected,False,0.9566436106828885,0.9564353208039243,-0.00020828987896415185,0.03999668617561407,0.040402875381952794,0.0005074977568872431,0.9968381961858771,"[0.9560512522651594, 0.9571054095044703, 0.95615488287964, 0.955879094346995, 0.9569859650233569]",17.0,
is_monaco_2025,is_monaco_2025,rejected,False,0.9566436106828885,0.9564980532858683,-0.00014555739702015735,0.03999668617561407,0.04076693898241679,0.0005514211384000016,0.9972649922682851,"[0.9560374820791772, 0.9572271651425395, 0.9562299179665775, 0.9559042599400873, 0.9570914413009608]",17.0,
is_qatar_2025,is_qatar_2025,rejected,False,0.9566436106828885,0.9564452136930358,-0.0001983969898526894,0.03999668617561407,0.04005703008293269,0.00043821975092824043,0.9965022437759685,"[0.956109033278711, 0.9569113618117324, 0.9562237494880735, 0.9559540079359488, 0.9570279159507138]",17.0,
qatar_2025_near_limit,qatar_2025_near_limit,rejected,False,0.9566436106828885,0.9564172980807136,-0.0002263126021748718,0.03999668617561407,0.03941935671686188,0.000464617316601135,0.9958366547975755,"[0.9560904203920682, 0.9569662280023605, 0.9561450870400443, 0.9558965678251613, 0.9569881871439342]",17.0,
LapNumber_minus_TyreLife,LapNumber_minus_TyreLife,accepted,True,0.9566436106828885,0.9567783970560306,0.00013478637314212616,0.03999668617561407,0.03894274444295069,0.0005822691997225867,0.9957211414989814,"[0.9563670612829217, 0.957527330898148, 0.9564162741596738, 0.9561450379238379, 0.9574362810155723]",17.0,
AveLapTime,AveLapTime,accepted,True,0.9567783970560306,0.9570666129201253,0.00028821586409466526,0.03894274444295069,0.03914248295098146,0.0005631532597292739,0.996209095871107,"[0.9569137937604787, 0.9578401015309649, 0.9565367101997047, 0.9564384974335, 0.9576039616759786]",18.0,
lap_time_minus_race_avg,lap_time_minus_race_avg,rejected,False,0.9570666129201253,0.9570045706703203,-6.20422498049944e-05,0.03914248295098146,0.039351372221672024,0.0005448684685875897,0.9963559428919921,"[0.9566935917618025, 0.9575671664667729, 0.9567011202377811, 0.9563312876123183, 0.9577296872729265]",19.0,
lap_time_ratio_race_avg,lap_time_ratio_race_avg,rejected,False,0.9570666129201253,0.956976687467414,-8.992545271124808e-05,0.03914248295098146,0.03937455889727752,0.0005466640134357728,0.9963512463646917,"[0.9567170173633437, 0.957589074168331, 0.9566253318633422, 0.9562947177531256, 0.9576572961889284]",19.0,
tyre_x_lap_delta,tyre_x_lap_delta,rejected,False,0.9570666129201253,0.9569139156373037,-0.00015269728282163442,0.03914248295098146,0.040312860196069236,0.0005275436820437147,0.9972267758333728,"[0.9568376087266304, 0.9574804248934997, 0.9564683931757694, 0.956233826582577, 0.957549324808042]",19.0,
tyre_x_degradation,tyre_x_degradation,rejected,False,0.9570666129201253,0.9569309717416614,-0.00013564117846387447,0.03914248295098146,0.039200136479779824,0.000558593711599424,0.9961311082214411,"[0.9566661873597613, 0.9575785900083336, 0.9565328770675591, 0.9562633175039039, 0.9576138867687491]",19.0,
progress_x_degradation,progress_x_degradation,accepted,True,0.9570666129201253,0.9570790130653617,1.2400145236401983e-05,0.03914248295098146,0.039677539480234045,0.0005205989741575448,0.9967565525455957,"[0.9570307387516334, 0.9576898914721678, 0.9566574802299386, 0.9563792027981635, 0.9576377520749052]",19.0,
position_x_progress,position_x_progress,rejected,False,0.9570790130653617,0.9569550427144563,-0.0001239703509053891,0.039677539480234045,0.04060570336664508,0.0004645515048065012,0.9975607460811012,"[0.956905594205394, 0.9575303610111588, 0.9566353681138425, 0.9562942022914654, 0.9574096879504199]",20.0,
position_change_abs,position_change_abs,rejected,False,0.9570790130653617,0.9568825223850709,-0.0001964906802908173,0.039677539480234045,0.04037804256825097,0.00046066784964106795,0.9972605649533219,"[0.9567227322360994, 0.9574095726724319, 0.956633521861497, 0.9562365512394974, 0.9574102339158292]",20.0,
tyre_life_squared,tyre_life_squared,rejected,False,0.9570790130653617,0.9568520965038398,-0.00022691656152185047,0.039677539480234045,0.03982493825896396,0.0005313314804154192,0.9966770347628037,"[0.9566595884240047, 0.9575036514516168, 0.9566185419355747, 0.9560798007445468, 0.9573988999634561]",20.0,
race_progress_squared,race_progress_squared,rejected,False,0.9570790130653617,0.9568655377561235,-0.00021347530923820912,0.039677539480234045,0.03997770782393191,0.0004685628582678488,0.9968432455800553,"[0.9567086337577162, 0.957429519408515, 0.9566258612843453, 0.9561971983009494, 0.9573664760290912]",20.0,
stint_x_tyre,stint_x_tyre,rejected,False,0.9570790130653617,0.9566995909646057,-0.0003794221007560328,0.039677539480234045,0.040474748080631916,0.0005030534170121882,0.9971743390452377,"[0.9566436003255813, 0.9572534502484421, 0.9563808624089253, 0.9559628018049349, 0.9572572400351451]",20.0,
stint_x_lap,stint_x_lap,rejected,False,0.9570790130653617,0.9568802901437115,-0.00019872292165024064,0.039677539480234045,0.04049758322290771,0.0004578364763886219,0.9973778733666194,"[0.9567398778883586, 0.957470069465483, 0.9565250856861949, 0.9563088461591336, 0.9573575715193876]",20.0,
remaining_progress,remaining_progress,rejected,False,0.9570790130653617,0.9568842287627927,-0.0001947843025690288,0.039677539480234045,0.040055558697977854,0.0004251536283519753,0.9969397874607706,"[0.9567598075635766, 0.9574953790001092, 0.9565980036061326, 0.95632968228789, 0.9572382713562553]",20.0,
tyre_per_remaining_progress,tyre_per_remaining_progress,rejected,False,0.9570790130653617,0.9568760567653077,-0.00020295630005395804,0.039677539480234045,0.04040536794536824,0.0004786284953543399,0.9972814247106759,"[0.9567857245683936, 0.9575158892617308, 0.9565243246435029, 0.956236520735748, 0.9573178246171634]",20.0,
lap_per_progress,lap_per_progress,accepted,True,0.9570790130653617,0.9580110999538276,0.0009320868884659106,0.039677539480234045,0.03921568257049022,0.00042165870066710566,0.997226782524318,"[0.9578185365976931, 0.9586282390433355, 0.9577903176105689, 0.9574611361425395, 0.9583572703750013]",20.0,
estimated_total_distance_km,estimated_total_distance_km,accepted,True,0.9580110999538276,0.9584056474725049,0.00039454751867729065,0.03921568257049022,0.03836572703255146,0.0004082096129126098,0.9967713745050565,"[0.9582936997808593, 0.9589122693566875, 0.9579600275458161, 0.9580044456577698, 0.9588577950213923]",21.0,
current_distance_km,current_distance_km,rejected,False,0.9584056474725049,0.9582512055098856,-0.00015444196261926724,0.03836572703255146,0.03865088943220505,0.0005062216572335371,0.9969020949420905,"[0.9581642781274815, 0.9589671433022543, 0.957641965986903, 0.9577998394334344, 0.9586828006993547]",22.0,
corners_completed,corners_completed,rejected,False,0.9584056474725049,0.958249425323697,-0.0001562221488079496,0.03836572703255146,0.03825710880097566,0.00039278974389390643,0.9965065341246724,"[0.9582465177003966, 0.9587269604457651, 0.9578248333783108, 0.9577990602952978, 0.9586497547987142]",22.0,
tyre_corner_load,tyre_corner_load,rejected,False,0.9584056474725049,0.9581557327499681,-0.0002499147225367704,0.03836572703255146,0.03856698094554689,0.00044152443306166216,0.9967227136955149,"[0.9581105415729101, 0.9587272975270964, 0.9575891324592583, 0.9577732634297009, 0.9585784287608747]",22.0,
